Tm	Rec_ID	AvgTSi00	AvgTSi10NE	AvgTSi20NE	AvgTSi30NE	AvgTSi40NE	AvgTSi90E	AvgTSi90S	AvgTSi90W	AvgTSi90N	AvgGSi00	AvgGSi10NE	AvgGSi20NE	AvgGSi30NE	AvgGSi40NE	AvgGSi90E	AvgGSi90S	AvgGSi90W	AvgGSi90N	AvgSPN1Glob	AvgCMP11	AvgSPN1Diff	AvgTamb	AvgHamb	AvgWindSp	AvgTcab	AvgHcab	AvgWindDir	AvgP	AvgGaSi00	AvgTaSi00
2015-07-27 00:00:00	435437	26.544	26.540	26.585	26.687	26.782	27.730	27.630	27.600	27.565	-0.208	-0.134	-0.497	-0.470	0.339	0.535	-0.130	-0.181	0.697	2.742	-0.306	0.894	28.021	77.638	-0.060	34.637	50.385	130.231	1007.467	-0.082	26.653
2015-07-27 00:01:00	435438	26.524	26.513	26.561	26.666	26.758	27.731	27.627	27.596	27.556	-0.368	-0.101	-0.518	-0.496	0.313	0.530	0.017	-0.198	0.563	2.768	-0.306	0.922	28.024	77.617	0.251	34.636	50.384	131.225	1007.508	-0.031	26.623
2015-07-27 00:02:00	435439	26.516	26.498	26.552	26.665	26.758	27.731	27.621	27.592	27.552	-0.382	-0.115	-0.508	-0.485	0.330	0.493	-0.107	-0.193	-0.098	2.634	-0.299	0.840	28.026	77.553	0.071	34.635	50.456	117.555	1007.515	-0.102	26.607
2015-07-27 00:03:00	435440	26.495	26.468	26.526	26.651	26.749	27.729	27.613	27.583	27.538	-0.190	-0.093	-0.491	-0.419	0.328	0.572	-0.104	-0.137	-0.554	2.750	-0.274	0.938	28.027	77.687	0.099	34.634	50.319	160.084	1007.514	-0.104	26.574
2015-07-27 00:04:00	435441	26.457	26.439	26.497	26.629	26.731	27.725	27.605	27.571	27.521	-0.224	-0.114	-0.519	-0.511	0.291	0.556	-0.093	-0.190	-0.543	2.577	-0.314	0.807	28.026	77.619	0.012	34.635	50.334	120.857	1007.487	-0.145	26.536
2015-07-27 00:05:00	435442	26.420	26.425	26.477	26.612	26.711	27.713	27.592	27.552	27.503	-0.290	-0.093	-0.532	-0.470	0.303	0.612	-0.083	-0.164	-0.632	2.810	-0.283	0.993	28.024	77.668	0.171	34.635	50.457	138.236	1007.464	-0.165	26.515
2015-07-27 00:06:00	435443	26.404	26.415	26.467	26.600	26.698	27.709	27.583	27.536	27.486	-0.279	-0.107	-0.541	-0.488	0.304	0.546	-0.041	-0.222	-0.759	2.722	-0.298	0.863	28.022	77.809	0.461	34.635	50.370	105.521	1007.461	-0.205	26.509
2015-07-27 00:07:00	435444	26.375	26.401	26.455	26.592	26.693	27.699	27.566	27.522	27.481	-0.150	-0.123	-0.479	-0.481	0.297	0.516	-0.100	-0.180	-0.109	2.822	-0.296	0.954	28.012	77.897	-0.018	34.635	50.405	114.365	1007.452	-0.169	26.491
2015-07-27 00:08:00	435445	26.351	26.383	26.442	26.583	26.684	27.698	27.557	27.514	27.475	-0.267	-0.122	-0.518	-0.512	0.331	0.446	-0.090	-0.230	-0.375	2.680	-0.315	0.878	28.006	77.794	0.055	34.638	50.411	178.515	1007.427	-0.218	26.470
2015-07-27 00:09:00	435446	26.310	26.340	26.413	26.558	26.666	27.695	27.545	27.510	27.473	-0.138	-0.093	-0.518	-0.485	0.306	0.556	-0.212	-0.178	-0.107	2.679	-0.288	0.906	28.009	77.679	-0.147	34.642	50.370	205.941	1007.402	-0.035	26.429
2015-07-27 00:10:00	435447	26.268	26.289	26.365	26.517	26.631	27.675	27.520	27.485	27.451	-0.197	-0.126	-0.535	-0.521	0.295	0.562	-0.034	-0.204	-0.284	2.822	-0.305	0.999	28.008	77.912	0.292	34.641	50.422	97.248	1007.421	-0.100	26.375
2015-07-27 00:11:00	435448	26.255	26.302	26.372	26.520	26.619	27.661	27.504	27.464	27.439	-0.411	-0.091	-0.493	-0.496	0.316	0.527	0.033	-0.155	-0.307	2.814	-0.281	0.947	27.992	77.949	0.590	34.637	50.342	102.481	1007.435	-0.058	26.364
2015-07-27 00:12:00	435449	26.314	26.379	26.435	26.565	26.644	27.670	27.516	27.466	27.459	-0.192	-0.118	-0.517	-0.481	0.296	0.595	-0.026	-0.170	0.419	2.797	-0.278	0.936	27.979	77.970	0.659	34.635	50.402	140.054	1007.443	-0.185	26.423
2015-07-27 00:13:00	435450	26.354	26.409	26.464	26.591	26.672	27.675	27.522	27.462	27.469	-0.231	-0.126	-0.492	-0.454	0.331	0.530	-0.284	-0.211	-0.800	2.702	-0.284	0.929	27.971	78.054	1.287	34.630	50.463	95.015	1007.407	-0.075	26.463
2015-07-27 00:14:00	435451	26.446	26.502	26.545	26.647	26.717	27.694	27.552	27.473	27.510	-0.265	-0.102	-0.504	-0.486	0.319	0.498	-0.029	-0.206	-0.230	2.607	-0.304	0.772	27.968	78.131	1.311	34.624	50.493	101.953	1007.414	-0.117	26.535
2015-07-27 00:15:00	435452	26.474	26.514	26.565	26.670	26.751	27.716	27.574	27.486	27.547	-0.306	-0.105	-0.532	-0.501	0.291	0.476	-0.050	-0.195	-0.124	2.485	-0.292	0.756	27.972	78.021	0.642	34.618	50.528	95.690	1007.397	-0.134	26.558
2015-07-27 00:16:00	435453	26.480	26.506	26.569	26.684	26.769	27.721	27.577	27.485	27.545	-0.241	-0.134	-0.517	-0.488	0.330	0.543	-0.054	-0.215	-0.755	2.524	-0.317	0.794	27.976	77.980	0.363	34.612	50.557	163.194	1007.393	-0.165	26.562
2015-07-27 00:17:00	435454	26.476	26.495	26.565	26.688	26.772	27.726	27.584	27.487	27.539	-0.325	-0.114	-0.496	-0.481	0.323	0.479	-0.152	-0.178	0.519	2.474	-0.306	0.810	27.978	77.922	0.480	34.604	50.527	112.868	1007.366	-0.040	26.556
2015-07-27 00:18:00	435455	26.501	26.524	26.584	26.706	26.780	27.735	27.597	27.489	27.549	-0.397	-0.109	-0.512	-0.493	0.299	0.617	-0.085	-0.218	-0.521	2.709	-0.300	0.743	27.978	77.835	0.528	34.597	50.528	122.311	1007.303	0.017	26.584
2015-07-27 00:19:00	435456	26.534	26.569	26.618	26.732	26.803	27.750	27.615	27.497	27.566	-0.182	-0.117	-0.524	-0.477	0.333	0.487	0.077	-0.197	-0.562	2.498	-0.295	0.728	27.983	77.870	0.664	34.589	50.602	118.489	1007.337	-0.115	26.632
2015-07-27 00:20:00	435457	26.579	26.616	26.656	26.757	26.827	27.750	27.614	27.499	27.574	-0.215	-0.119	-0.545	-0.494	0.329	0.467	-0.050	-0.201	-0.424	2.572	-0.302	0.807	27.983	78.062	0.974	34.583	50.652	92.953	1007.299	-0.151	26.678
2015-07-27 00:21:00	435458	26.599	26.639	26.679	26.781	26.849	27.752	27.614	27.498	27.574	-0.156	-0.123	-0.510	-0.486	0.314	0.527	-0.143	-0.200	-0.442	2.554	-0.287	0.890	27.973	77.995	0.071	34.577	50.617	135.054	1007.273	-0.038	26.709
2015-07-27 00:22:00	435459	26.622	26.658	26.700	26.802	26.865	27.759	27.624	27.505	27.570	-0.361	-0.112	-0.513	-0.495	0.348	0.527	-0.043	-0.193	-0.232	2.506	-0.280	0.828	27.978	78.059	0.759	34.570	50.668	116.656	1007.278	-0.219	26.734
2015-07-27 00:23:00	435460	26.644	26.673	26.719	26.817	26.884	27.761	27.625	27.506	27.582	-0.223	-0.114	-0.521	-0.483	0.325	0.631	-0.022	-0.186	-0.159	2.568	-0.284	0.812	27.978	78.092	0.622	34.566	50.606	103.579	1007.279	-0.120	26.750
2015-07-27 00:24:00	435461	26.653	26.677	26.722	26.820	26.891	27.756	27.620	27.503	27.586	-0.167	-0.128	-0.514	-0.488	0.324	0.506	0.039	-0.204	-0.109	2.576	-0.299	0.816	27.970	78.174	0.510	34.562	50.658	148.029	1007.292	-0.153	26.755
2015-07-27 00:25:00	435462	26.637	26.655	26.709	26.813	26.886	27.760	27.621	27.510	27.577	-0.364	-0.115	-0.514	-0.504	0.321	0.443	0.026	-0.193	-0.277	2.612	-0.286	0.840	27.970	78.116	0.222	34.559	50.727	139.988	1007.319	-0.168	26.734
2015-07-27 00:26:00	435463	26.639	26.656	26.714	26.821	26.891	27.766	27.624	27.518	27.576	-0.271	-0.120	-0.538	-0.490	0.310	0.549	0.104	-0.197	-0.400	2.532	-0.305	0.792	27.977	77.935	0.037	34.558	50.791	153.589	1007.321	-0.128	26.725
2015-07-27 00:27:00	435464	26.616	26.631	26.699	26.812	26.885	27.761	27.621	27.515	27.564	-0.251	-0.105	-0.489	-0.498	0.323	0.595	0.047	-0.168	0.069	2.613	-0.289	0.812	27.982	78.057	-0.003	34.556	50.776	158.068	1007.324	-0.223	26.706
2015-07-27 00:28:00	435465	26.619	26.640	26.703	26.815	26.885	27.759	27.623	27.516	27.561	-0.258	-0.112	-0.502	-0.494	0.313	0.598	-0.075	-0.187	-0.119	2.625	-0.302	0.843	27.986	77.993	0.635	34.552	50.806	106.397	1007.320	-0.140	26.708
2015-07-27 00:29:00	435466	26.660	26.683	26.732	26.835	26.899	27.754	27.619	27.515	27.571	-0.192	-0.118	-0.493	-0.490	0.312	0.682	-0.030	-0.185	-0.174	2.518	-0.296	0.780	27.974	78.281	0.976	34.552	50.820	101.235	1007.327	-0.110	26.748
2015-07-27 00:30:00	435467	26.700	26.731	26.767	26.861	26.917	27.754	27.623	27.518	27.582	-0.093	-0.099	-0.508	-0.501	0.321	0.444	0.012	-0.191	0.192	2.617	-0.296	0.842	27.952	78.312	0.667	34.551	50.781	114.979	1007.353	-0.114	26.797
2015-07-27 00:31:00	435468	26.730	26.758	26.795	26.881	26.935	27.754	27.623	27.522	27.588	-0.239	-0.099	-0.490	-0.515	0.304	0.390	-0.004	-0.177	-0.199	2.584	-0.298	0.810	27.944	78.490	0.839	34.546	50.749	113.227	1007.351	-0.141	26.825
2015-07-27 00:32:00	435469	26.759	26.788	26.819	26.902	26.952	27.758	27.629	27.529	27.598	-0.394	-0.139	-0.522	-0.497	0.339	0.548	-0.230	-0.205	0.043	2.464	-0.291	0.761	27.936	78.343	0.428	34.539	50.815	152.373	1007.351	-0.159	26.859
2015-07-27 00:33:00	435470	26.769	26.797	26.827	26.916	26.967	27.770	27.640	27.542	27.603	-0.239	-0.114	-0.494	-0.483	0.311	0.514	-0.170	-0.164	0.402	2.572	-0.296	0.822	27.945	78.339	0.534	34.535	50.889	93.747	1007.344	-0.155	26.873
2015-07-27 00:34:00	435471	26.770	26.800	26.832	26.924	26.977	27.762	27.633	27.540	27.604	-0.366	-0.098	-0.498	-0.466	0.318	0.530	-0.123	-0.193	-0.253	2.472	-0.279	0.756	27.948	78.380	0.484	34.530	50.896	110.031	1007.355	-0.135	26.875
2015-07-27 00:35:00	435472	26.770	26.801	26.832	26.930	26.984	27.758	27.630	27.540	27.607	-0.226	-0.110	-0.492	-0.481	0.332	0.531	-0.002	-0.188	0.050	2.435	-0.277	0.723	27.945	78.524	0.437	34.528	51.266	90.763	1007.329	-0.182	26.879
2015-07-27 00:36:00	435473	26.750	26.769	26.810	26.916	26.975	27.748	27.613	27.533	27.596	-0.225	-0.093	-0.505	-0.474	0.330	0.544	-0.013	-0.170	-0.900	2.570	-0.287	0.858	27.938	78.353	0.140	34.525	50.781	95.170	1007.352	0.000	26.859
2015-07-27 00:37:00	435474	26.718	26.733	26.785	26.895	26.956	27.733	27.595	27.525	27.585	-0.146	-0.144	-0.563	-0.522	0.294	0.448	-0.161	-0.241	-0.247	2.581	-0.341	0.817	27.926	78.258	0.090	34.524	50.921	127.485	1007.336	-0.098	26.829
2015-07-27 00:38:00	435475	26.696	26.714	26.769	26.880	26.937	27.717	27.580	27.516	27.566	-0.311	-0.085	-0.551	-0.473	0.342	0.523	0.097	-0.184	-0.274	2.691	-0.277	0.921	27.913	78.349	0.020	34.525	50.865	125.409	1007.353	-0.050	26.806
2015-07-27 00:39:00	435476	26.664	26.674	26.730	26.845	26.910	27.702	27.562	27.507	27.551	-0.234	-0.099	-0.517	-0.492	0.340	0.488	0.019	-0.193	-0.212	2.722	-0.283	0.923	27.906	78.431	0.115	34.526	50.865	107.844	1007.363	-0.140	26.768
