Tm	Rec_ID	AvgTSi00	AvgTSi10NE	AvgTSi20NE	AvgTSi30NE	AvgTSi40NE	AvgTSi90E	AvgTSi90S	AvgTSi90W	AvgTSi90N	AvgGSi00	AvgGSi10NE	AvgGSi20NE	AvgGSi30NE	AvgGSi40NE	AvgGSi90E	AvgGSi90S	AvgGSi90W	AvgGSi90N	AvgSPN1Glob	AvgCMP11	AvgSPN1Diff	AvgTamb	AvgHamb	AvgWindSp	AvgTcab	AvgHcab	AvgWindDir	AvgP	AvgGaSi00	AvgTaSi00
2015-07-28 00:00:00	436877	27.348	27.323	27.372	27.479	27.540	28.348	28.199	28.214	28.203	-0.319	-0.111	-0.521	-0.481	0.326	0.681	-0.039	-0.198	-0.556	2.610	-0.289	0.824	28.481	80.557	0.126	35.106	51.101	141.543	1008.123	-0.186	27.420
2015-07-28 00:01:00	436878	27.346	27.331	27.366	27.468	27.525	28.339	28.189	28.205	28.198	-0.211	-0.115	-0.524	-0.487	0.333	0.534	-0.032	-0.190	-1.124	2.703	-0.291	0.891	28.482	80.832	0.554	35.102	51.075	103.225	1008.090	-0.107	27.415
2015-07-28 00:02:00	436879	27.320	27.295	27.334	27.442	27.509	28.333	28.177	28.199	28.193	-0.317	-0.099	-0.535	-0.509	0.336	0.424	-0.047	-0.190	0.418	2.703	-0.269	0.913	28.473	81.035	0.644	35.099	51.181	83.022	1008.057	-0.085	27.389
2015-07-28 00:03:00	436880	27.329	27.307	27.338	27.442	27.499	28.325	28.172	28.189	28.189	-0.275	-0.106	-0.533	-0.464	0.359	0.608	-0.031	-0.193	0.017	2.566	-0.277	0.804	28.466	80.994	0.844	35.097	51.220	159.285	1008.040	-0.092	27.393
2015-07-28 00:04:00	436881	27.322	27.296	27.326	27.432	27.493	28.324	28.170	28.186	28.180	-0.284	-0.103	-0.509	-0.496	0.323	0.472	-0.143	-0.205	-0.448	2.657	-0.272	0.827	28.459	81.025	0.632	35.095	51.327	138.315	1008.044	-0.207	27.389
2015-07-28 00:05:00	436882	27.354	27.336	27.359	27.455	27.506	28.325	28.172	28.184	28.187	-0.265	-0.128	-0.544	-0.480	0.339	0.547	-0.251	-0.206	-0.152	2.520	-0.270	0.853	28.458	81.071	1.464	35.092	51.338	100.383	1008.028	-0.199	27.409
2015-07-28 00:06:00	436883	27.364	27.340	27.365	27.460	27.518	28.317	28.161	28.174	28.186	-0.419	-0.092	-0.535	-0.461	0.312	0.495	0.056	-0.144	0.367	2.474	-0.256	0.776	28.448	81.011	1.012	35.089	51.269	112.912	1007.983	-0.085	27.419
2015-07-28 00:07:00	436884	27.369	27.348	27.373	27.466	27.523	28.320	28.165	28.174	28.188	-0.324	-0.097	-0.501	-0.492	0.337	0.583	-0.045	-0.194	-0.596	2.603	-0.264	0.922	28.446	81.053	1.094	35.086	51.176	127.299	1007.966	-0.074	27.427
2015-07-28 00:08:00	436885	27.410	27.397	27.413	27.492	27.540	28.327	28.179	28.180	28.206	-0.220	-0.100	-0.510	-0.497	0.345	0.513	-0.099	-0.182	-0.364	2.580	-0.288	0.836	28.451	81.131	2.422	35.081	51.320	93.302	1007.952	-0.104	27.465
2015-07-28 00:09:00	436886	27.441	27.419	27.438	27.509	27.558	28.319	28.168	28.174	28.207	-0.268	-0.101	-0.518	-0.489	0.376	0.559	0.158	-0.197	0.465	2.489	-0.283	0.768	28.434	81.261	1.553	35.073	51.384	91.326	1007.980	-0.183	27.495
2015-07-28 00:10:00	436887	27.440	27.416	27.438	27.512	27.565	28.313	28.165	28.167	28.208	-0.366	-0.114	-0.510	-0.489	0.357	0.505	-0.127	-0.163	-0.079	2.550	-0.261	0.769	28.421	81.353	1.147	35.064	51.347	88.566	1007.980	-0.063	27.500
2015-07-28 00:11:00	436888	27.407	27.383	27.406	27.492	27.554	28.304	28.154	28.156	28.197	-0.182	-0.112	-0.514	-0.509	0.357	0.439	-0.113	-0.186	0.731	2.541	-0.277	0.806	28.411	81.210	0.137	35.057	51.450	144.040	1007.976	-0.067	27.482
2015-07-28 00:12:00	436889	27.357	27.334	27.360	27.462	27.528	28.299	28.146	28.148	28.177	-0.319	-0.110	-0.541	-0.479	0.331	0.655	-0.115	-0.212	-0.477	2.549	-0.267	0.846	28.410	81.192	0.183	35.048	51.592	142.692	1007.975	-0.116	27.438
2015-07-28 00:13:00	436890	27.301	27.275	27.310	27.419	27.498	28.285	28.130	28.134	28.153	-0.255	-0.106	-0.506	-0.492	0.300	0.578	-0.005	-0.168	0.112	2.668	-0.260	0.897	28.417	81.302	0.017	35.041	51.587	166.744	1008.004	-0.275	27.386
2015-07-28 00:14:00	436891	27.272	27.247	27.279	27.391	27.464	28.270	28.112	28.119	28.137	-0.314	-0.095	-0.510	-0.500	0.325	0.526	-0.028	-0.195	-0.481	2.692	-0.284	0.884	28.409	81.160	1.195	35.036	51.714	107.484	1007.979	-0.057	27.346
2015-07-28 00:15:00	436892	27.307	27.291	27.318	27.415	27.472	28.272	28.117	28.115	28.149	-0.172	-0.112	-0.504	-0.486	0.305	0.572	0.058	-0.178	-0.164	2.623	-0.273	0.948	28.407	81.371	1.662	35.034	51.732	101.856	1007.967	-0.155	27.378
2015-07-28 00:16:00	436893	27.329	27.310	27.339	27.431	27.487	28.272	28.117	28.111	28.156	-0.143	-0.111	-0.550	-0.503	0.355	0.552	-0.021	-0.194	0.315	2.735	-0.292	0.868	28.401	81.498	0.991	35.030	51.675	124.400	1007.972	-0.028	27.399
2015-07-28 00:17:00	436894	27.308	27.271	27.315	27.411	27.482	28.272	28.110	28.112	28.153	-0.256	-0.151	-0.527	-0.477	0.311	0.459	-0.100	-0.197	0.410	2.377	-0.284	0.729	28.398	81.566	0.268	35.026	51.640	139.909	1007.982	-0.126	27.374
2015-07-28 00:18:00	436895	27.258	27.219	27.268	27.376	27.448	28.262	28.095	28.101	28.137	-0.171	-0.096	-0.520	-0.501	0.282	0.623	0.161	-0.176	-0.728	2.625	-0.278	0.837	28.401	81.495	0.573	35.020	51.667	148.494	1007.997	-0.207	27.325
2015-07-28 00:19:00	436896	27.253	27.232	27.275	27.382	27.440	28.268	28.101	28.100	28.134	-0.436	-0.118	-0.507	-0.487	0.319	0.482	-0.011	-0.180	-0.124	2.679	-0.263	0.949	28.408	81.602	1.006	35.015	51.716	101.822	1008.006	-0.161	27.316
2015-07-28 00:20:00	436897	27.265	27.250	27.291	27.392	27.448	28.275	28.115	28.100	28.149	-0.227	-0.104	-0.505	-0.502	0.314	0.486	-0.088	-0.191	-0.627	2.646	-0.269	0.869	28.414	81.583	1.483	35.010	51.703	118.773	1007.971	-0.050	27.330
2015-07-28 00:21:00	436898	27.270	27.260	27.303	27.406	27.460	28.284	28.129	28.103	28.154	-0.133	-0.112	-0.526	-0.508	0.303	0.460	-0.062	-0.202	0.300	2.486	-0.293	0.788	28.421	81.587	0.898	35.003	51.724	130.639	1007.969	-0.229	27.342
2015-07-28 00:22:00	436899	27.267	27.262	27.299	27.395	27.456	28.269	28.113	28.090	28.141	-0.187	-0.111	-0.523	-0.521	0.322	0.503	-0.014	-0.187	-0.084	2.560	-0.280	0.797	28.415	81.585	0.704	34.995	51.878	121.752	1007.987	-0.142	27.349
