Tm	Rec_ID	AvgGSi00	AvgTSi00	AvgHamb	AvgTamb
2015-06-14 00:00:00	1348646	-0.164	26.037	0.022	28.281
2015-06-14 00:01:00	1348647	-0.221	26.049	0.025	28.278
2015-06-14 00:02:00	1348648	-0.160	26.040	0.024	28.281
2015-06-14 00:03:00	1348649	-0.176	26.025	0.024	28.281
2015-06-14 00:04:00	1348650	-0.184	26.030	0.022	28.281
2015-06-14 00:05:00	1348651	-0.194	26.012	0.024	28.281
2015-06-14 00:06:00	1348652	-0.131	25.996	0.021	28.282
2015-06-14 00:07:00	1348653	-0.157	25.992	0.021	28.287
2015-06-14 00:08:00	1348654	-0.164	25.981	0.020	28.290
2015-06-14 00:09:00	1348655	-0.157	25.979	0.022	28.303
2015-06-14 00:10:00	1348656	-0.184	25.974	0.024	28.302
2015-06-14 00:11:00	1348657	-0.199	25.978	0.024	28.297
2015-06-14 00:12:00	1348658	-0.186	25.974	0.024	28.293
2015-06-14 00:13:00	1348659	-0.181	25.966	0.024	28.285
2015-06-14 00:14:00	1348660	-0.162	25.973	0.021	28.272
2015-06-14 00:15:00	1348661	-0.150	25.974	0.024	28.275
2015-06-14 00:16:00	1348662	-0.198	25.976	0.025	28.284
2015-06-14 00:17:00	1348663	-0.185	25.992	0.020	28.285
2015-06-14 00:18:00	1348664	-0.138	26.006	0.021	28.293
2015-06-14 00:19:00	1348665	-0.189	26.019	0.024	28.295
2015-06-14 00:20:00	1348666	-0.162	26.030	0.025	28.287
2015-06-14 00:21:00	1348667	-0.167	26.038	0.023	28.272
2015-06-14 00:22:00	1348668	-0.190	26.030	0.024	28.246
2015-06-14 00:23:00	1348669	-0.176	26.014	0.023	28.219
2015-06-14 00:24:00	1348670	-0.174	25.995	0.024	28.193
2015-06-14 00:25:00	1348671	-0.167	25.963	0.022	28.174
2015-06-14 00:26:00	1348672	-0.269	25.934	0.028	28.156
2015-06-14 00:27:00	1348673	-0.241	25.913	0.025	28.132
2015-06-14 00:28:00	1348674	-0.121	25.906	0.022	28.105
2015-06-14 00:29:00	1348675	-0.193	25.887	0.023	28.088
2015-06-14 00:30:00	1348676	-0.174	25.854	0.023	28.078
2015-06-14 00:31:00	1348677	-0.168	25.825	0.023	28.069
2015-06-14 00:32:00	1348678	-0.177	25.808	0.024	28.047
2015-06-14 00:33:00	1348679	-0.168	25.795	0.023	28.035
2015-06-14 00:34:00	1348680	-0.180	25.765	0.023	28.017
2015-06-14 00:35:00	1348681	-0.196	25.729	0.023	28.008
2015-06-14 00:36:00	1348682	-0.187	25.715	0.023	27.985
2015-06-14 00:37:00	1348683	-0.186	25.705	0.023	27.971
2015-06-14 00:38:00	1348684	-0.167	25.712	0.023	27.957
2015-06-14 00:39:00	1348685	-0.200	25.795	0.024	27.926
2015-06-14 00:40:00	1348686	-0.154	25.877	0.021	27.948
2015-06-14 00:41:00	1348687	-0.225	25.916	0.027	27.957
2015-06-14 00:42:00	1348688	-0.225	25.911	0.027	27.972
2015-06-14 00:43:00	1348689	-0.174	25.912	0.023	27.962
2015-06-14 00:44:00	1348690	-0.195	25.909	0.026	27.980
2015-06-14 00:45:00	1348691	-0.231	25.925	0.025	27.972
2015-06-14 00:46:00	1348692	-0.222	25.921	0.025	27.972
2015-06-14 00:47:00	1348693	-0.166	25.909	0.022	27.976
2015-06-14 00:48:00	1348694	-0.212	25.878	0.026	27.959
2015-06-14 00:49:00	1348695	-0.135	25.850	0.021	27.969
2015-06-14 00:50:00	1348696	-0.185	25.843	0.021	27.972
2015-06-14 00:51:00	1348697	-0.165	25.848	0.023	27.950
2015-06-14 00:52:00	1348698	-0.221	25.871	0.025	27.957
2015-06-14 00:53:00	1348699	-0.152	25.912	0.021	27.932
2015-06-14 00:54:00	1348700	-0.159	25.922	0.024	27.910
2015-06-14 00:55:00	1348701	-0.275	25.912	0.029	27.896
2015-06-14 00:56:00	1348702	-0.105	25.888	0.016	27.881
2015-06-14 00:57:00	1348703	-0.070	25.869	0.020	27.877
2015-06-14 00:58:00	1348704	-0.149	25.845	0.022	27.858
2015-06-14 00:59:00	1348705	-0.147	25.835	0.021	27.852
2015-06-14 01:00:00	1348706	-0.147	25.856	0.022	27.837
2015-06-14 01:01:00	1348707	-0.210	25.859	0.024	27.841
2015-06-14 01:02:00	1348708	-0.178	25.871	0.022	27.823
2015-06-14 01:03:00	1348709	-0.172	25.886	0.023	27.819
2015-06-14 01:04:00	1348710	-0.195	25.908	0.024	27.796
2015-06-14 01:05:00	1348711	-0.131	25.913	0.021	27.793
2015-06-14 01:06:00	1348712	-0.160	25.893	0.022	27.777
2015-06-14 01:07:00	1348713	-0.170	25.865	0.023	27.786
2015-06-14 01:08:00	1348714	-0.187	25.846	0.026	27.759
2015-06-14 01:09:00	1348715	-0.171	25.842	0.023	27.765
2015-06-14 01:10:00	1348716	-0.165	25.890	0.023	27.786
2015-06-14 01:11:00	1348717	-0.192	25.957	0.023	27.784
2015-06-14 01:12:00	1348718	-0.176	26.030	0.022	27.799
2015-06-14 01:13:00	1348719	-0.157	26.107	0.023	27.814
2015-06-14 01:14:00	1348720	-0.180	26.193	0.024	27.814
2015-06-14 01:15:00	1348721	-0.223	26.225	0.024	27.844
2015-06-14 01:16:00	1348722	-0.242	26.256	0.028	27.860
2015-06-14 01:17:00	1348723	-0.231	26.279	0.028	27.848
2015-06-14 01:18:00	1348724	-0.099	26.298	0.017	27.866
2015-06-14 01:19:00	1348725	-0.103	26.295	0.020	27.890
2015-06-14 01:20:00	1348726	-0.060	26.278	0.018	27.890
2015-06-14 01:21:00	1348727	-0.202	26.287	0.024	27.886
2015-06-14 01:22:00	1348728	-0.178	26.289	0.022	27.880
2015-06-14 01:23:00	1348729	-0.166	26.296	0.025	27.875
2015-06-14 01:24:00	1348730	-0.147	26.309	0.021	27.869
2015-06-14 01:25:00	1348731	-0.140	26.318	0.024	27.869
2015-06-14 01:26:00	1348732	-0.214	26.309	0.025	27.866
2015-06-14 01:27:00	1348733	-0.164	26.318	0.024	27.856
2015-06-14 01:28:00	1348734	-0.134	26.319	0.024	27.853
2015-06-14 01:29:00	1348735	-0.170	26.313	0.024	27.850
2015-06-14 01:30:00	1348736	-0.192	26.283	0.025	27.848
2015-06-14 01:31:00	1348737	-0.172	26.258	0.023	27.845
2015-06-14 01:32:00	1348738	-0.171	26.264	0.023	27.842
2015-06-14 01:33:00	1348739	-0.196	26.272	0.025	27.840
2015-06-14 01:34:00	1348740	-0.159	26.264	0.023	27.844
2015-06-14 01:35:00	1348741	-0.188	26.268	0.024	27.847
2015-06-14 01:36:00	1348742	-0.161	26.267	0.022	27.846
2015-06-14 01:37:00	1348743	-0.165	26.264	0.024	27.844
2015-06-14 01:38:00	1348744	-0.191	26.259	0.025	27.831
2015-06-14 01:39:00	1348745	-0.179	26.268	0.023	27.821
2015-06-14 01:40:00	1348746	-0.142	26.252	0.020	27.820
2015-06-14 01:41:00	1348747	-0.178	26.233	0.025	27.819
2015-06-14 01:42:00	1348748	-0.181	26.234	0.022	27.817
2015-06-14 01:43:00	1348749	-0.174	26.227	0.024	27.817
2015-06-14 01:44:00	1348750	-0.161	26.216	0.023	27.824
2015-06-14 01:45:00	1348751	-0.048	26.202	0.017	27.826
2015-06-14 01:46:00	1348752	-0.178	26.187	0.025	27.820
2015-06-14 01:47:00	1348753	-0.231	26.166	0.028	27.821
2015-06-14 01:48:00	1348754	-0.136	26.145	0.023	27.827
2015-06-14 01:49:00	1348755	-0.177	26.130	0.023	27.835
2015-06-14 01:50:00	1348756	-0.189	26.120	0.023	27.844
2015-06-14 01:51:00	1348757	-0.141	26.124	0.020	27.843
2015-06-14 01:52:00	1348758	-0.117	26.128	0.020	27.834
2015-06-14 01:53:00	1348759	-0.213	26.153	0.025	27.832
2015-06-14 01:54:00	1348760	-0.173	26.163	0.023	27.831
2015-06-14 01:55:00	1348761	-0.133	26.173	0.023	27.835
2015-06-14 01:56:00	1348762	-0.147	26.190	0.023	27.835
2015-06-14 01:57:00	1348763	-0.215	26.198	0.028	27.824
2015-06-14 01:58:00	1348764	-0.197	26.179	0.026	27.834
2015-06-14 01:59:00	1348765	-0.091	26.175	0.021	27.832
2015-06-14 02:00:00	1348766	-0.156	26.158	0.021	27.832
2015-06-14 02:01:00	1348767	-0.163	26.133	0.022	27.826
2015-06-14 02:02:00	1348768	-0.213	26.121	0.025	27.821
2015-06-14 02:03:00	1348769	-0.175	26.090	0.024	27.817
2015-06-14 02:04:00	1348770	-0.193	26.062	0.025	27.818
2015-06-14 02:05:00	1348771	-0.135	26.053	0.024	27.810
2015-06-14 02:06:00	1348772	-0.212	26.061	0.026	27.810
2015-06-14 02:07:00	1348773	-0.228	26.037	0.024	27.823
2015-06-14 02:08:00	1348774	-0.170	26.010	0.024	27.822
2015-06-14 02:09:00	1348775	-0.095	25.987	0.016	27.826
2015-06-14 02:10:00	1348776	-0.092	25.980	0.019	27.826
2015-06-14 02:11:00	1348777	-0.174	25.968	0.023	27.820
2015-06-14 02:12:00	1348778	-0.169	25.957	0.024	27.817
2015-06-14 02:13:00	1348779	-0.120	25.935	0.019	27.820
2015-06-14 02:14:00	1348780	-0.176	25.923	0.024	27.827
2015-06-14 02:15:00	1348781	-0.213	25.921	0.025	27.827
2015-06-14 02:16:00	1348782	-0.257	25.933	0.028	27.824
2015-06-14 02:17:00	1348783	-0.216	25.954	0.025	27.822
2015-06-14 02:18:00	1348784	-0.174	25.974	0.023	27.825
2015-06-14 02:19:00	1348785	-0.193	26.003	0.023	27.823
2015-06-14 02:20:00	1348786	-0.152	26.028	0.022	27.824
2015-06-14 02:21:00	1348787	-0.184	26.041	0.024	27.833
2015-06-14 02:22:00	1348788	-0.164	26.043	0.024	27.842
2015-06-14 02:23:00	1348789	-0.163	26.033	0.024	27.844
2015-06-14 02:24:00	1348790	-0.190	26.019	0.025	27.846
2015-06-14 02:25:00	1348791	-0.156	25.991	0.024	27.851
2015-06-14 02:26:00	1348792	-0.200	25.954	0.025	27.850
2015-06-14 02:27:00	1348793	-0.217	25.905	0.026	27.853
2015-06-14 02:28:00	1348794	-0.180	25.879	0.021	27.846
2015-06-14 02:29:00	1348795	-0.167	25.843	0.023	27.841
2015-06-14 02:30:00	1348796	-0.185	25.823	0.025	27.836
2015-06-14 02:31:00	1348797	-0.168	25.828	0.024	27.844
2015-06-14 02:32:00	1348798	-0.175	25.826	0.022	27.851
2015-06-14 02:33:00	1348799	-0.169	25.835	0.024	27.857
2015-06-14 02:34:00	1348800	-0.166	25.853	0.023	27.829
2015-06-14 02:35:00	1348801	-0.176	25.829	0.023	27.824
2015-06-14 02:36:00	1348802	-0.224	25.813	0.028	27.827
2015-06-14 02:37:00	1348803	-0.160	25.803	0.023	27.828
2015-06-14 02:38:00	1348804	-0.097	25.769	0.020	27.829
2015-06-14 02:39:00	1348805	-0.172	25.733	0.021	27.829
