Tm	Rec_ID	AvgTamb	AvgHamb	AvgGSi00	AvgTSi00	AvgSPN1_G	AvgSPN1_D	AvgWind_S	AvgWind_D	AvgAir_P	AvgTmod
2015-06-13 00:00:00	154947	25.722	97.949	-0.295	24.468	4.072	3.789	-0.133	261.873	1005.286	24.522
2015-06-13 00:01:00	154948	25.717	98.041	-0.384	24.469	4.316	3.770	-0.103	249.602	1005.274	24.523
2015-06-13 00:02:00	154949	25.713	98.098	-0.320	24.476	4.142	3.829	-0.084	268.131	1005.301	24.518
2015-06-13 00:03:00	154950	25.704	98.114	-0.457	24.490	4.195	4.026	-0.100	266.446	1005.284	24.521
2015-06-13 00:04:00	154951	25.697	98.203	-0.419	24.494	3.998	3.768	-0.085	258.514	1005.231	24.516
2015-06-13 00:05:00	154952	25.686	98.191	-0.343	24.486	4.014	3.788	-0.028	247.210	1005.256	24.514
2015-06-13 00:06:00	154953	25.670	98.171	-0.236	24.482	4.030	3.870	0.342	244.167	1005.281	24.515
2015-06-13 00:07:00	154954	25.644	98.053	-0.225	24.471	4.145	3.869	0.262	258.750	1005.261	24.523
2015-06-13 00:08:00	154955	25.613	98.065	-0.326	24.453	4.226	3.929	0.357	245.675	1005.256	24.515
2015-06-13 00:09:00	154956	25.600	98.237	-0.299	24.451	4.055	3.772	0.412	231.198	1005.281	24.516
2015-06-13 00:10:00	154957	25.592	98.250	-0.369	24.448	3.896	3.661	0.443	220.022	1005.243	24.528
2015-06-13 00:11:00	154958	25.590	98.309	-0.256	24.448	4.042	3.698	0.288	228.050	1005.241	24.551
2015-06-13 00:12:00	154959	25.594	98.371	-0.375	24.454	3.915	3.695	0.284	201.941	1005.206	24.564
2015-06-13 00:13:00	154960	25.603	98.448	-0.342	24.473	3.718	3.640	0.202	230.582	1005.233	24.578
2015-06-13 00:14:00	154961	25.613	98.496	-0.207	24.482	3.856	3.731	0.231	225.470	1005.238	24.590
2015-06-13 00:15:00	154962	25.633	98.628	-0.561	24.513	3.827	3.721	0.170	239.453	1005.247	24.620
2015-06-13 00:16:00	154963	25.652	98.699	-0.601	24.537	3.757	3.649	0.108	191.393	1005.241	24.638
2015-06-13 00:17:00	154964	25.676	98.799	-0.355	24.561	3.759	3.614	0.238	221.164	1005.252	24.661
