id_sensor,date_stamp,time_stamp,mini_volts,temperature,irradiance
0,150722,01:46:00,0.0,27.139322387,0.0
0,150722,01:47:00,0.0,27.044935597,0.0
0,150722,01:48:00,0.0,27.044935597,0.0
0,150722,01:49:00,0.0,27.044935597,0.0
0,150722,01:50:00,0.0,27.044935597,0.0
0,150722,01:51:00,0.0,27.013473923,0.0
0,150722,01:52:00,0.0,26.9820125436,0.0
0,150722,01:53:00,0.0,26.9820125436,0.0
0,150722,01:54:00,0.0,26.9820125436,0.0
0,150722,01:55:00,0.0,26.9190906689,0.0
0,150722,01:56:00,0.0,26.9190906689,0.0
0,150722,01:57:00,0.0,26.9190906689,0.0
0,150722,01:58:00,0.0,26.9190906689,0.0
0,150722,01:59:00,0.0,26.9190906689,0.0
0,150722,02:00:00,0.0,26.9505514589,0.0
0,150722,02:01:00,0.0,26.9190906689,0.0
0,150722,02:02:00,0.0,26.9190906689,0.0
0,150722,02:03:00,0.0,26.9505514589,0.0
0,150722,02:04:00,0.0,26.9190906689,0.0
0,150722,02:05:00,0.0,26.9505514589,0.0
0,150722,02:06:00,0.0,26.9190906689,0.0
0,150722,02:07:00,0.0,26.9820125436,0.0
0,150722,02:08:00,0.0,26.9820125436,0.0
0,150722,02:09:00,0.0,26.9190906689,0.0
0,150722,02:10:00,0.0,26.9820125436,0.0
0,150722,02:11:00,0.0,26.9190906689,0.0
0,150722,02:12:00,0.0,26.9190906689,0.0
0,150722,02:13:00,0.0,26.8876301735,0.0
0,150722,02:14:00,0.0,26.8876301735,0.0
0,150722,02:15:00,0.0,26.8561699726,0.0
0,150722,02:16:00,0.0,26.8561699726,0.0
0,150722,02:17:00,0.0,26.8561699726,0.0
0,150722,02:18:00,0.0,26.8561699726,0.0
0,150722,02:19:00,0.0,26.8561699726,0.0
0,150722,02:20:00,0.0,26.8876301735,0.0
0,150722,02:21:00,0.0,26.8561699726,0.0
0,150722,02:22:00,0.0,26.8561699726,0.0
0,150722,02:23:00,0.0,26.8247100664,0.0
