date_stamp,time_stamp,mini_volts,temperature,irradiance
150614,01:32:00,-0.296875,25.0483624605,-5.44693717406
150614,01:33:00,-0.2578125,25.111296124,-4.73008589082
150614,01:34:00,-0.25,25.2056988304,-4.58653320529
150614,01:35:00,-0.2734375,25.0798291448,-5.01683678973
150614,01:36:00,-0.2578125,25.0798291448,-4.73016040175
150614,01:37:00,-0.2734375,25.142763398,-5.01667873801
150614,01:38:00,-0.2421875,25.2371669889,-4.44313405371
150614,01:39:00,-0.3046875,25.142763398,-5.59001345092
150614,01:40:00,-0.34375,25.1742309668,-6.30658249857
150614,01:41:00,-0.3515625,25.1742309668,-6.44991391899
150614,01:42:00,-0.3125,25.2056988304,-5.73316650661
150614,01:43:00,-0.2890625,25.1742309668,-5.30326255562
150614,01:44:00,-0.28125,25.2056988304,-5.15984985595
150614,01:45:00,-0.078125,25.2686354422,-1.43324647302
150614,01:46:00,-0.3046875,25.2686354422,-5.58966124476
150614,01:47:00,-0.2890625,25.2056988304,-5.30317901862
150614,01:48:00,-0.375,25.3001041903,-6.87947470535
150614,01:49:00,-0.3125,25.0798291448,-5.73352775969
150614,01:50:00,-0.265625,25.1742309668,-4.87326829435
150614,01:51:00,-0.25,25.111296124,-4.58674995474
150614,01:52:00,-0.34375,25.3630425712,-6.30598648376
150614,01:53:00,-0.1953125,25.2371669889,-3.58317262396
150614,01:54:00,-0.3046875,25.0798291448,-5.5901895657
150614,01:55:00,-0.171875,25.142763398,-3.15334092103
150614,01:56:00,-0.25,25.2056988304,-4.58653320529
150614,01:57:00,-0.3046875,25.2686354422,-5.58966124476
150614,01:58:00,-0.3671875,25.1742309668,-6.73657675984
150614,01:59:00,-0.296875,25.2056988304,-5.44650818128
150614,02:00:00,-0.3125,25.2056988304,-5.73316650661
150614,02:01:00,-0.2890625,25.142763398,-5.30334609447
150614,02:02:00,-0.28125,25.1742309668,-5.15993113519
150614,02:03:00,-0.3359375,25.2686354422,-6.16295983397
150614,02:04:00,-0.3203125,25.2371669889,-5.8764031033
150614,02:05:00,-0.328125,25.2686354422,-6.01963518667
150614,02:06:00,-0.2890625,25.3315732334,-5.3028448891
150614,02:07:00,-0.3828125,25.2686354422,-7.02290771778
150614,02:08:00,-0.3984375,25.3001041903,-7.30944187443
